ds,y,category
2015-06-16,75.0,Cleats
2015-06-17,80.0,Cleats
2015-06-18,66.0,Cleats
2015-06-19,72.0,Cleats
2015-06-20,86.0,Cleats
2015-06-21,100.0,Cleats
2015-06-22,46.0,Cleats
2015-06-23,48.0,Cleats
2015-06-24,71.0,Cleats
2015-06-25,74.0,Cleats
2015-06-26,82.0,Cleats
2015-06-27,80.0,Cleats
2015-06-28,97.0,Cleats
2015-06-29,55.0,Cleats
2015-06-30,57.0,Cleats
2015-07-01,69.0,Cleats
2015-07-02,97.0,Cleats
2015-07-03,100.0,Cleats
2015-07-04,65.0,Cleats
2015-07-05,71.0,Cleats
2015-07-06,64.0,Cleats
2015-07-07,47.0,Cleats
2015-07-08,57.0,Cleats
2015-07-09,73.0,Cleats
2015-07-10,78.0,Cleats
2015-07-11,79.0,Cleats
2015-07-12,65.0,Cleats
2015-07-13,70.0,Cleats
2015-07-14,96.0,Cleats
2015-07-15,98.0,Cleats
2015-07-16,55.0,Cleats
2015-07-17,79.0,Cleats
2015-07-18,78.0,Cleats
2015-07-19,73.0,Cleats
2015-07-20,52.0,Cleats
2015-07-21,48.0,Cleats
2015-07-22,45.0,Cleats
2015-07-23,75.0,Cleats
2015-07-24,71.0,Cleats
2015-07-25,68.0,Cleats
2015-07-26,77.0,Cleats
2015-07-27,45.0,Cleats
2015-07-28,85.0,Cleats
2015-07-29,59.0,Cleats
2015-07-30,77.0,Cleats
2015-07-31,86.0,Cleats
2015-08-01,60.0,Cleats
2015-08-02,67.0,Cleats
2015-08-03,83.0,Cleats
2015-08-04,96.0,Cleats
2015-08-05,68.0,Cleats
2015-08-06,71.0,Cleats
2015-08-07,83.0,Cleats
2015-08-08,56.0,Cleats
2015-08-09,70.0,Cleats
2015-08-10,84.0,Cleats
2015-08-11,50.0,Cleats
2015-08-12,94.0,Cleats
2015-08-13,81.0,Cleats
2015-08-14,69.0,Cleats
2015-08-15,82.0,Cleats
2015-08-16,92.0,Cleats
2015-08-17,60.0,Cleats
2015-08-18,73.0,Cleats
2015-08-19,63.0,Cleats
2015-08-20,68.0,Cleats
2015-08-21,54.0,Cleats
2015-08-22,67.0,Cleats
2015-08-23,72.0,Cleats
2015-08-24,80.0,Cleats
2015-08-25,91.0,Cleats
2015-08-26,50.0,Cleats
2015-08-27,73.0,Cleats
2015-08-28,118.0,Cleats
2015-08-29,79.0,Cleats
2015-08-30,59.0,Cleats
2015-08-31,85.0,Cleats
2015-09-01,88.0,Cleats
2015-09-02,54.0,Cleats
2015-09-03,29.0,Cleats
2015-09-04,75.0,Cleats
2015-09-05,50.0,Cleats
2015-09-06,90.0,Cleats
2015-09-07,57.0,Cleats
2015-09-08,120.0,Cleats
2015-09-09,50.0,Cleats
2015-09-10,52.0,Cleats
2015-09-11,88.0,Cleats
2015-09-12,83.0,Cleats
2015-09-13,94.0,Cleats
2015-09-14,54.0,Cleats
2015-09-15,61.0,Cleats
2015-09-16,85.0,Cleats
2015-09-17,61.0,Cleats
2015-09-18,55.0,Cleats
2015-09-19,53.0,Cleats
2015-09-20,48.0,Cleats
2015-09-21,84.0,Cleats
2015-09-22,103.0,Cleats
2015-09-23,96.0,Cleats
2015-09-24,65.0,Cleats
2015-09-25,61.0,Cleats
2015-09-26,79.0,Cleats
2015-09-27,68.0,Cleats
2015-09-28,49.0,Cleats
2015-09-29,53.0,Cleats
2015-09-30,84.0,Cleats
2015-10-01,87.0,Cleats
2015-10-02,105.0,Cleats
2015-10-03,40.0,Cleats
2015-10-04,56.0,Cleats
2015-10-05,76.0,Cleats
2015-10-06,88.0,Cleats
2015-10-07,80.0,Cleats
2015-10-08,64.0,Cleats
2015-10-09,81.0,Cleats
2015-10-10,61.0,Cleats
2015-10-11,69.0,Cleats
2015-10-12,68.0,Cleats
2015-10-13,70.0,Cleats
2015-10-14,46.0,Cleats
2015-10-15,63.0,Cleats
2015-10-16,70.0,Cleats
2015-10-17,51.0,Cleats
2015-10-18,45.0,Cleats
2015-10-19,81.0,Cleats
2015-10-20,49.0,Cleats
2015-10-21,49.0,Cleats
2015-10-22,61.0,Cleats
2015-10-23,76.0,Cleats
2015-10-24,65.0,Cleats
2015-10-25,64.0,Cleats
2015-10-26,53.0,Cleats
2015-10-27,63.0,Cleats
2015-10-28,58.0,Cleats
2015-10-29,93.0,Cleats
2015-10-30,58.0,Cleats
2015-10-31,77.0,Cleats
2015-11-01,67.0,Cleats
2015-11-02,89.0,Cleats
2015-11-03,47.0,Cleats
2015-11-04,89.0,Cleats
2015-11-05,58.0,Cleats
2015-11-06,65.0,Cleats
2015-11-07,48.0,Cleats
2015-11-08,94.0,Cleats
2015-11-09,64.0,Cleats
2015-11-10,53.0,Cleats
2015-11-11,75.0,Cleats
2015-11-12,84.0,Cleats
2015-11-13,77.0,Cleats
2015-11-14,76.0,Cleats
2015-11-15,53.0,Cleats
2015-11-16,88.0,Cleats
2015-11-17,76.0,Cleats
2015-11-18,48.0,Cleats
2015-11-19,94.0,Cleats
2015-11-20,65.0,Cleats
2015-11-21,58.0,Cleats
2015-11-22,66.0,Cleats
2015-11-23,60.0,Cleats
2015-11-24,49.0,Cleats
2015-11-25,79.0,Cleats
2015-11-26,63.0,Cleats
2015-11-27,67.0,Cleats
2015-11-28,75.0,Cleats
2015-11-29,120.0,Cleats
2015-11-30,69.0,Cleats
2015-12-01,37.0,Cleats
2015-12-02,66.0,Cleats
2015-12-03,77.0,Cleats
2015-12-04,75.0,Cleats
2015-12-05,86.0,Cleats
2015-12-06,67.0,Cleats
2015-12-07,46.0,Cleats
2015-12-08,53.0,Cleats
2015-12-09,107.0,Cleats
2015-12-10,71.0,Cleats
2015-12-11,50.0,Cleats
2015-12-12,73.0,Cleats
2015-12-13,91.0,Cleats
2015-12-14,86.0,Cleats
2015-12-15,75.0,Cleats
2015-12-16,49.0,Cleats
2015-12-17,59.0,Cleats
2015-12-18,44.0,Cleats
2015-12-19,63.0,Cleats
2015-12-20,76.0,Cleats
2015-12-21,65.0,Cleats
2015-12-22,54.0,Cleats
2015-12-23,88.0,Cleats
2015-12-24,82.0,Cleats
2015-12-25,68.0,Cleats
2015-12-26,66.0,Cleats
2015-12-27,83.0,Cleats
2015-12-28,72.0,Cleats
2015-12-29,56.0,Cleats
2015-12-30,63.0,Cleats
2015-12-31,59.0,Cleats
2016-01-01,59.0,Cleats
2016-01-02,42.0,Cleats
2016-01-03,81.0,Cleats
2016-01-04,97.0,Cleats
2016-01-05,40.0,Cleats
2016-01-06,95.0,Cleats
2016-01-07,77.0,Cleats
2016-01-08,53.0,Cleats
2016-01-09,58.0,Cleats
2016-01-10,46.0,Cleats
2016-01-11,34.0,Cleats
2016-01-12,50.0,Cleats
2016-01-13,46.0,Cleats
2016-01-14,77.0,Cleats
2016-01-15,53.0,Cleats
2016-01-16,99.0,Cleats
2016-01-17,73.0,Cleats
2016-01-18,80.0,Cleats
2016-01-19,55.0,Cleats
2016-01-20,80.0,Cleats
2016-01-21,99.0,Cleats
2016-01-22,70.0,Cleats
2016-01-23,86.0,Cleats
2016-01-24,94.0,Cleats
2016-01-25,70.0,Cleats
2016-01-26,77.0,Cleats
2016-01-27,64.0,Cleats
2016-01-28,57.0,Cleats
2016-01-29,59.0,Cleats
2016-01-30,63.0,Cleats
2016-01-31,70.0,Cleats
2016-02-01,68.0,Cleats
2016-02-02,58.0,Cleats
2016-02-03,96.0,Cleats
2016-02-04,51.0,Cleats
2016-02-05,80.0,Cleats
2016-02-06,65.0,Cleats
2016-02-07,92.0,Cleats
2016-02-08,88.0,Cleats
2016-02-09,62.0,Cleats
2016-02-10,54.0,Cleats
2016-02-11,65.0,Cleats
2016-02-12,63.0,Cleats
2016-02-13,57.0,Cleats
2016-02-14,38.0,Cleats
2016-02-15,42.0,Cleats
2016-02-16,110.0,Cleats
2016-02-17,74.0,Cleats
2016-02-18,76.0,Cleats
2016-02-19,89.0,Cleats
2016-02-20,49.0,Cleats
2016-02-21,49.0,Cleats
2016-02-22,58.0,Cleats
2016-02-23,88.0,Cleats
2016-02-24,57.0,Cleats
2016-02-25,55.0,Cleats
2016-02-26,87.0,Cleats
2016-02-27,46.0,Cleats
2016-02-28,58.0,Cleats
2016-02-29,65.0,Cleats
2016-03-01,62.0,Cleats
2016-03-02,70.0,Cleats
2016-03-03,125.0,Cleats
2016-03-04,81.0,Cleats
2016-03-05,71.0,Cleats
2016-03-06,57.0,Cleats
2016-03-07,80.0,Cleats
2016-03-08,84.0,Cleats
2016-03-09,71.0,Cleats
2016-03-10,75.0,Cleats
2016-03-11,81.0,Cleats
2016-03-12,73.0,Cleats
2016-03-13,54.0,Cleats
2016-03-14,70.0,Cleats
2016-03-15,48.0,Cleats
2016-03-16,61.0,Cleats
2016-03-17,77.0,Cleats
2016-03-18,126.0,Cleats
2016-03-19,53.0,Cleats
2016-03-20,64.0,Cleats
2016-03-21,84.0,Cleats
2016-03-22,74.0,Cleats
2016-03-23,42.0,Cleats
2016-03-24,61.0,Cleats
2016-03-25,93.0,Cleats
2016-03-26,97.0,Cleats
2016-03-27,64.0,Cleats
2016-03-28,57.0,Cleats
2016-03-29,88.0,Cleats
2016-03-30,103.0,Cleats
2016-03-31,81.0,Cleats
2016-04-01,93.0,Cleats
2016-04-02,49.0,Cleats
2016-04-03,35.0,Cleats
2016-04-04,52.0,Cleats
2016-04-05,111.0,Cleats
2016-04-06,73.0,Cleats
2016-04-07,83.0,Cleats
2016-04-08,63.0,Cleats
2016-04-09,42.0,Cleats
2016-04-10,71.0,Cleats
2016-04-11,69.0,Cleats
2016-04-12,66.0,Cleats
2016-04-13,77.0,Cleats
2016-04-14,86.0,Cleats
2016-04-15,70.0,Cleats
2016-04-16,83.0,Cleats
2016-04-17,48.0,Cleats
2016-04-18,101.0,Cleats
2016-04-19,66.0,Cleats
2016-04-20,90.0,Cleats
2016-04-21,90.0,Cleats
2016-04-22,44.0,Cleats
2016-04-23,73.0,Cleats
2016-04-24,74.0,Cleats
2016-04-25,67.0,Cleats
2016-04-26,52.0,Cleats
2016-04-27,65.0,Cleats
2016-04-28,77.0,Cleats
2016-04-29,68.0,Cleats
2016-04-30,61.0,Cleats
2016-05-01,85.0,Cleats
2016-05-02,64.0,Cleats
2016-05-03,70.0,Cleats
2016-05-04,84.0,Cleats
2016-05-05,72.0,Cleats
2016-05-06,84.0,Cleats
2016-05-07,57.0,Cleats
2016-05-08,88.0,Cleats
2016-05-09,84.0,Cleats
2016-05-10,60.0,Cleats
2016-05-11,71.0,Cleats
2016-05-12,97.0,Cleats
2016-05-13,70.0,Cleats
2016-05-14,73.0,Cleats
2016-05-15,79.0,Cleats
2016-05-16,86.0,Cleats
2016-05-17,58.0,Cleats
2016-05-18,71.0,Cleats
2016-05-19,67.0,Cleats
2016-05-20,72.0,Cleats
2016-05-21,58.0,Cleats
2016-05-22,85.0,Cleats
2016-05-23,73.0,Cleats
2016-05-24,69.0,Cleats
2016-05-25,45.0,Cleats
2016-05-26,79.0,Cleats
2016-05-27,97.0,Cleats
2016-05-28,94.0,Cleats
2016-05-29,67.0,Cleats
2016-05-30,75.0,Cleats
2016-05-31,98.0,Cleats
2016-06-01,59.0,Cleats
2016-06-02,70.0,Cleats
2016-06-03,66.0,Cleats
2016-06-04,87.0,Cleats
2016-06-05,54.0,Cleats
2016-06-06,77.0,Cleats
2016-06-07,75.0,Cleats
2016-06-08,70.0,Cleats
2016-06-09,65.0,Cleats
2016-06-10,77.0,Cleats
2016-06-11,63.0,Cleats
2016-06-12,91.0,Cleats
2016-06-13,68.0,Cleats
2016-06-14,59.0,Cleats
2016-06-15,75.0,Cleats
2016-06-16,57.0,Cleats
2016-06-17,71.0,Cleats
2016-06-18,76.0,Cleats
2016-06-19,59.0,Cleats
2016-06-20,79.0,Cleats
2016-06-21,63.0,Cleats
2016-06-22,73.0,Cleats
2016-06-23,44.0,Cleats
2016-06-24,86.0,Cleats
2016-06-25,89.0,Cleats
2016-06-26,74.0,Cleats
2016-06-27,74.0,Cleats
2016-06-28,60.0,Cleats
2016-06-29,84.0,Cleats
2016-06-30,65.0,Cleats
2016-07-01,60.0,Cleats
2016-07-02,54.0,Cleats
2016-07-03,63.0,Cleats
2016-07-04,79.0,Cleats
2016-07-05,80.0,Cleats
2016-07-06,60.0,Cleats
2016-07-07,79.0,Cleats
2016-07-08,64.0,Cleats
2016-07-09,77.0,Cleats
2016-07-10,65.0,Cleats
2016-07-11,80.0,Cleats
2016-07-12,65.0,Cleats
2016-07-13,52.0,Cleats
2016-07-14,86.0,Cleats
2016-07-15,55.0,Cleats
2016-07-16,114.0,Cleats
2016-07-17,69.0,Cleats
2016-07-18,79.0,Cleats
2016-07-19,57.0,Cleats
2016-07-20,58.0,Cleats
2016-07-21,50.0,Cleats
2016-07-22,70.0,Cleats
2016-07-23,72.0,Cleats
2016-07-24,78.0,Cleats
2016-07-25,63.0,Cleats
2016-07-26,65.0,Cleats
2016-07-27,55.0,Cleats
2016-07-28,59.0,Cleats
2016-07-29,82.0,Cleats
2016-07-30,59.0,Cleats
2016-07-31,52.0,Cleats
2016-08-01,71.0,Cleats
2016-08-02,51.0,Cleats
2016-08-03,69.0,Cleats
2016-08-04,63.0,Cleats
2016-08-05,80.0,Cleats
2016-08-06,86.0,Cleats
2016-08-07,65.0,Cleats
2016-08-08,68.0,Cleats
2016-08-09,102.0,Cleats
2016-08-10,47.0,Cleats
2016-08-11,93.0,Cleats
2016-08-12,82.0,Cleats
2016-08-13,64.0,Cleats
2016-08-14,71.0,Cleats
2016-08-15,70.0,Cleats
2016-08-16,57.0,Cleats
2016-08-17,81.0,Cleats
2016-08-18,79.0,Cleats
2016-08-19,67.0,Cleats
2016-08-20,76.0,Cleats
2016-08-21,74.0,Cleats
2016-08-22,90.0,Cleats
2016-08-23,73.0,Cleats
2016-08-24,57.0,Cleats
2016-08-25,84.0,Cleats
2016-08-26,79.0,Cleats
2016-08-27,84.0,Cleats
2016-08-28,67.0,Cleats
2016-08-29,55.0,Cleats
2016-08-30,83.0,Cleats
2016-08-31,74.0,Cleats
2016-09-01,54.0,Cleats
2016-09-02,70.0,Cleats
2016-09-03,70.0,Cleats
2016-09-04,87.0,Cleats
2016-09-05,106.0,Cleats
2016-09-06,126.0,Cleats
2016-09-07,65.0,Cleats
2016-09-08,68.0,Cleats
2016-09-09,60.0,Cleats
2016-09-10,53.0,Cleats
2016-09-11,58.0,Cleats
2016-09-12,69.0,Cleats
2016-09-13,70.0,Cleats
2016-09-14,55.0,Cleats
2016-09-15,58.0,Cleats
2016-09-16,94.0,Cleats
2016-09-17,70.0,Cleats
2016-09-18,75.0,Cleats
2016-09-19,78.0,Cleats
2016-09-20,72.0,Cleats
2016-09-21,85.0,Cleats
2016-09-22,74.0,Cleats
2016-09-23,61.0,Cleats
2016-09-24,74.0,Cleats
2016-09-25,71.0,Cleats
2016-09-26,74.0,Cleats
2016-09-27,51.0,Cleats
2016-09-28,75.0,Cleats
2016-09-29,75.0,Cleats
2016-09-30,70.0,Cleats
2016-10-01,63.0,Cleats
2016-10-02,97.0,Cleats
2016-10-03,55.0,Cleats
2016-10-04,60.0,Cleats
2016-10-05,48.0,Cleats
2016-10-06,89.0,Cleats
2016-10-07,53.0,Cleats
2016-10-08,81.0,Cleats
2016-10-09,48.0,Cleats
2016-10-10,68.0,Cleats
2016-10-11,71.0,Cleats
2016-10-12,93.0,Cleats
2016-10-13,69.0,Cleats
2016-10-14,69.0,Cleats
2016-10-15,100.0,Cleats
2016-10-16,37.0,Cleats
2016-10-17,47.0,Cleats
2016-10-18,63.0,Cleats
2016-10-19,60.0,Cleats
2016-10-20,55.0,Cleats
2016-10-21,75.0,Cleats
2016-10-22,79.0,Cleats
2016-10-23,67.0,Cleats
2016-10-24,107.0,Cleats
2016-10-25,62.0,Cleats
2016-10-26,83.0,Cleats
2016-10-27,69.0,Cleats
2016-10-28,73.0,Cleats
2016-10-29,113.0,Cleats
2016-10-30,67.0,Cleats
2016-10-31,67.0,Cleats
2016-11-01,79.0,Cleats
2016-11-02,60.0,Cleats
2016-11-03,91.0,Cleats
2016-11-04,82.0,Cleats
2016-11-05,53.0,Cleats
2016-11-06,73.0,Cleats
2016-11-07,98.0,Cleats
2016-11-08,57.0,Cleats
2016-11-09,71.0,Cleats
2016-11-10,22.0,Cleats
2016-11-11,133.0,Cleats
2016-11-12,43.0,Cleats
2016-11-13,46.0,Cleats
2016-11-14,50.0,Cleats
2016-11-15,56.0,Cleats
2016-11-16,50.0,Cleats
2016-11-17,92.0,Cleats
2016-11-18,61.0,Cleats
2016-11-19,83.0,Cleats
2016-11-20,101.0,Cleats
2016-11-21,83.0,Cleats
2016-11-22,76.0,Cleats
2016-11-23,74.0,Cleats
2016-11-24,56.0,Cleats
2016-11-25,84.0,Cleats
2016-11-26,66.0,Cleats
2016-11-27,54.0,Cleats
2016-11-28,92.0,Cleats
2016-11-29,79.0,Cleats
2016-11-30,91.0,Cleats
2016-12-01,66.0,Cleats
2016-12-02,70.0,Cleats
2016-12-03,54.0,Cleats
2016-12-04,79.0,Cleats
2016-12-05,93.0,Cleats
2016-12-06,94.0,Cleats
2016-12-07,79.0,Cleats
2016-12-08,67.0,Cleats
2016-12-09,72.0,Cleats
2016-12-10,89.0,Cleats
2016-12-11,74.0,Cleats
2016-12-12,78.0,Cleats
2016-12-13,77.0,Cleats
2016-12-14,57.0,Cleats
2016-12-15,91.0,Cleats
2016-12-16,75.0,Cleats
2016-12-17,83.0,Cleats
2016-12-18,78.0,Cleats
2016-12-19,90.0,Cleats
2016-12-20,54.0,Cleats
2016-12-21,55.0,Cleats
2016-12-22,62.0,Cleats
2016-12-23,66.0,Cleats
2016-12-24,68.0,Cleats
2016-12-25,82.0,Cleats
2016-12-26,38.0,Cleats
2016-12-27,73.0,Cleats
2016-12-28,64.0,Cleats
2016-12-29,83.0,Cleats
2016-12-30,60.0,Cleats
2016-12-31,69.0,Cleats
2017-01-01,54.0,Cleats
2017-01-02,89.0,Cleats
2017-01-03,48.0,Cleats
2017-01-04,49.0,Cleats
2017-01-05,48.0,Cleats
2017-01-06,83.0,Cleats
2017-01-07,69.0,Cleats
2017-01-08,87.0,Cleats
2017-01-09,58.0,Cleats
2017-01-10,66.0,Cleats
2017-01-11,74.0,Cleats
2017-01-12,76.0,Cleats
2017-01-13,71.0,Cleats
2017-01-14,64.0,Cleats
2017-01-15,75.0,Cleats
2017-01-16,87.0,Cleats
2017-01-17,101.0,Cleats
2017-01-18,115.0,Cleats
2017-01-19,54.0,Cleats
2017-01-20,72.0,Cleats
2017-01-21,63.0,Cleats
2017-01-22,67.0,Cleats
2017-01-23,80.0,Cleats
2017-01-24,61.0,Cleats
2017-01-25,66.0,Cleats
2017-01-26,81.0,Cleats
2017-01-27,59.0,Cleats
2017-01-28,61.0,Cleats
2017-01-29,58.0,Cleats
2017-01-30,51.0,Cleats
2017-01-31,77.0,Cleats
2017-02-01,78.0,Cleats
2017-02-02,82.0,Cleats
2017-02-03,75.0,Cleats
2017-02-04,44.0,Cleats
2017-02-05,62.0,Cleats
2017-02-06,92.0,Cleats
2017-02-07,61.0,Cleats
2017-02-08,82.0,Cleats
2017-02-09,69.0,Cleats
2017-02-10,74.0,Cleats
2017-02-11,61.0,Cleats
2017-02-12,36.0,Cleats
2017-02-13,73.0,Cleats
2017-02-14,71.0,Cleats
2017-02-15,109.0,Cleats
2017-02-16,72.0,Cleats
2017-02-17,94.0,Cleats
2017-02-18,60.0,Cleats
2017-02-19,54.0,Cleats
2017-02-20,73.0,Cleats
2017-02-21,76.0,Cleats
2017-02-22,81.0,Cleats
2017-02-23,92.0,Cleats
2017-02-24,57.0,Cleats
2017-02-25,94.0,Cleats
2017-02-26,85.0,Cleats
2017-02-27,49.0,Cleats
2017-02-28,86.0,Cleats
2017-03-01,66.0,Cleats
2017-03-02,91.0,Cleats
2017-03-03,86.0,Cleats
2017-03-04,79.0,Cleats
2017-03-05,37.0,Cleats
2017-03-06,55.0,Cleats
2017-03-07,105.0,Cleats
2017-03-08,89.0,Cleats
2017-03-09,68.0,Cleats
2017-03-10,50.0,Cleats
2017-03-11,87.0,Cleats
2017-03-12,57.0,Cleats
2017-03-13,86.0,Cleats
2017-03-14,53.0,Cleats
2017-03-15,77.0,Cleats
2017-03-16,82.0,Cleats
2017-03-17,59.0,Cleats
2017-03-18,110.0,Cleats
2017-03-19,88.0,Cleats
2017-03-20,77.0,Cleats
2017-03-21,72.0,Cleats
2017-03-22,53.0,Cleats
2017-03-23,77.0,Cleats
2017-03-24,45.0,Cleats
2017-03-25,69.0,Cleats
2017-03-26,39.0,Cleats
2017-03-27,23.0,Cleats
2017-03-28,44.0,Cleats
2017-03-29,90.0,Cleats
2017-03-30,68.0,Cleats
2017-03-31,62.0,Cleats
2017-04-01,66.0,Cleats
2017-04-02,73.0,Cleats
2017-04-03,103.0,Cleats
2017-04-04,55.0,Cleats
2017-04-05,55.0,Cleats
2017-04-06,64.0,Cleats
2017-04-07,54.0,Cleats
2017-04-08,88.0,Cleats
2017-04-09,68.0,Cleats
2017-04-10,51.0,Cleats
2017-04-11,49.0,Cleats
2017-04-12,79.0,Cleats
2017-04-13,61.0,Cleats
2017-04-14,60.0,Cleats
2017-04-15,90.0,Cleats
2017-04-16,70.0,Cleats
2017-04-17,77.0,Cleats
2017-04-18,57.0,Cleats
2017-04-19,92.0,Cleats
2017-04-20,91.0,Cleats
2017-04-21,78.0,Cleats
2017-04-22,61.0,Cleats
2017-04-23,82.0,Cleats
2017-04-24,75.0,Cleats
2017-04-25,63.0,Cleats
2017-04-26,46.0,Cleats
2017-04-27,66.0,Cleats
2017-04-28,102.0,Cleats
2017-04-29,59.0,Cleats
2017-04-30,104.0,Cleats
2017-05-01,63.0,Cleats
2017-05-02,68.0,Cleats
2017-05-03,55.0,Cleats
2017-05-04,56.0,Cleats
2017-05-05,62.0,Cleats
2017-05-06,84.0,Cleats
2017-05-07,92.0,Cleats
2017-05-08,59.0,Cleats
2017-05-09,45.0,Cleats
2017-05-10,70.0,Cleats
2017-05-11,69.0,Cleats
2017-05-12,63.0,Cleats
2017-05-13,49.0,Cleats
2017-05-14,84.0,Cleats
2017-05-15,91.0,Cleats
2017-05-16,90.0,Cleats
2017-05-17,66.0,Cleats
2017-05-18,56.0,Cleats
2017-05-19,59.0,Cleats
2017-05-20,73.0,Cleats
2017-05-21,53.0,Cleats
2017-05-22,88.0,Cleats
2017-05-23,78.0,Cleats
